,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0,0.0,708,253,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,4,0,0,0,0,26,0,0,3,0,0.0,0,0,0,0,40,False,0,2,2,26
1,1,1,1,0,0,0,0,0.0,708,124,0,0,0.0,0.0,2022-02-23T19:30:00Z,0,17,0,0,0,0,26,0,0,0,1,0.0,0,0,0,0,40,True,0,2,3,26
2,2,2,2,0,0,0,0,0.0,708,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,7,0,0,0,0,27,0,263,1,1,0.0,0,92,113,21,40,False,0,2,2,27
3,3,3,3,0,0,0,0,0.0,708,213,0,0,0.0,0.0,2022-03-01T19:45:00Z,0,9,0,0,0,0,27,0,263,2,0,0.0,0,92,113,21,40,True,0,2,2,27
4,4,4,4,0,0,0,0,0.0,708,272,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,6,0,0,0,0,28,0,421,4,0,0.0,0,245,289,44,40,True,0,2,4,28
5,5,5,5,0,0,0,0,0.0,708,282,0,0,0.0,0.0,2022-03-12T15:00:00Z,0,3,0,0,0,0,29,0,989,0,2,0.0,0,498,643,145,40,False,0,2,2,29
6,6,6,6,0,0,0,0,0.0,708,302,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,12,0,0,0,0,31,0,1285,2,0,0.0,0,669,802,133,40,True,0,2,5,31
7,7,7,7,0,0,0,0,0.0,708,183,0,0,0.0,0.0,2022-04-06T18:30:00Z,0,8,0,0,0,0,31,0,1285,2,3,0.0,0,669,802,133,40,True,0,2,2,31
8,8,8,8,0,0,0,0,0.0,708,318,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,15,0,0,0,0,32,0,907,0,2,0.0,0,-347,90,437,40,False,0,2,2,32
9,9,9,9,0,0,0,0,0.0,708,329,0,0,0.0,0.0,2022-04-17T13:15:00Z,0,19,0,0,0,0,33,0,977,1,1,0.0,0,-60,102,162,40,False,0,2,3,33
10,10,10,10,0,0,0,0,0.0,708,292,0,0,0.0,0.0,2022-04-21T18:45:00Z,0,16,0,0,0,0,33,0,977,0,2,0.0,0,-60,102,162,40,True,0,2,2,33
11,11,11,11,0,0,0,0,0.0,708,334,0,0,0.0,0.0,2022-04-24T13:00:00Z,0,20,0,0,0,0,34,0,984,0,1,0.0,0,32,137,105,40,True,0,2,3,34
12,12,12,12,0,0,0,0,0.0,708,348,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,18,0,0,0,0,35,0,1091,2,1,0.0,0,96,205,109,40,False,0,2,2,35
13,13,13,13,0,0,0,0,0.0,708,354,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,2,0,0,0,0,36,0,1291,3,1,0.0,0,135,285,150,40,True,0,2,2,36
14,14,14,14,0,0,0,0,0.0,708,367,0,0,0.0,0.0,2022-05-15T11:00:00Z,0,17,0,0,0,0,37,0,1814,0,1,0.0,0,347,513,166,40,False,0,2,4,37
15,15,15,15,0,0,0,0,0.0,708,171,0,0,0.0,0.0,2022-05-19T19:00:00Z,0,2,0,0,0,0,37,0,1814,1,1,0.0,0,347,513,166,40,False,0,2,2,37
16,16,16,16,0,0,0,0,0.0,708,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,14,0,0,0,0,38,0,1527,2,1,0.0,0,-195,265,460,40,True,0,2,2,38
