,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0,0.0,605,45,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,16,0,0,0,0,5,0,0,0,0,0.0,0,0,0,0,45,True,0,5,2,5
1,1,1,1,0,0,0,0,0.0,605,53,0,0,0.0,0.0,2021-09-25T11:30:00Z,0,6,0,0,0,0,6,0,373,1,0,0.0,0,209,283,74,45,False,0,5,4,6
2,2,2,2,0,0,0,0,0.0,605,66,0,0,0.0,0.0,2021-10-03T15:30:00Z,0,11,0,0,0,0,7,0,387,2,2,0.0,0,-41,109,150,45,False,0,5,5,7
3,3,3,3,0,0,0,0,0.0,605,76,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,5,0,0,0,0,8,0,508,0,2,0.0,0,39,140,101,45,True,0,5,2,8
4,4,4,4,0,0,0,0,0.0,605,83,0,0,0.0,0.0,2021-10-23T16:30:00Z,0,4,0,0,0,0,9,0,544,4,1,0.0,0,-12,84,96,45,False,0,5,2,9
5,5,5,5,0,0,0,0,0.0,605,95,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,7,0,0,0,0,10,0,597,2,0,0.0,0,-23,74,97,45,True,0,5,2,10
6,6,6,6,0,0,0,0,0.0,605,108,0,0,0.0,0.0,2021-11-06T12:30:00Z,0,13,0,0,0,0,11,0,698,2,0,0.0,0,31,115,84,45,False,0,5,4,11
7,7,7,7,0,0,0,0,0.0,605,115,0,0,0.0,0.0,2021-11-21T14:00:00Z,0,8,0,0,0,0,12,0,721,0,3,0.0,0,-57,49,106,45,True,0,5,2,12
8,8,8,8,0,0,0,0,0.0,605,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,19,0,0,0,0,13,0,748,1,2,0.0,0,-4,42,46,45,True,0,5,3,13
9,9,9,9,0,0,0,0,0.0,605,131,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,2,0,0,0,0,14,0,774,2,1,0.0,0,2,31,29,45,False,0,5,2,14
10,10,10,10,0,0,0,0,0.0,605,148,0,0,0.0,0.0,2021-12-04T17:30:00Z,0,18,0,0,0,0,15,0,780,3,1,0.0,0,-7,33,40,45,False,0,5,2,15
