,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,0,0,0,2,0.0,0,0,0,0,40,False,0,3,3,2
1,1,1,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,16,0,0,0,0,3,0,931,0,2,3,0.0,0,374,432,58,40,True,0,4,2,3
2,2,2,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,1,0,0,0,0,4,0,1579,0,1,3,0.0,0,195,322,127,40,False,0,3,4,4
3,3,3,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,5,0,0,0,0,5,0,2272,0,3,1,0.0,0,230,375,145,40,True,0,4,3,5
4,4,4,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,6,0,0,0,0,6,0,2423,0,1,0,0.0,0,50,202,152,40,False,0,3,2,6
5,5,5,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,8,0,0,0,0,7,0,2495,0,1,0,0.0,0,17,159,142,40,True,0,4,2,7
6,6,6,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,4,0,0,0,0,8,0,2591,0,1,2,0.0,0,1,138,137,40,True,0,4,3,8
7,7,7,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,2654,0,2,1,0.0,0,-10,92,102,40,False,0,3,2,9
8,8,8,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2023-10-29T15:30:00Z,0,13,0,0,0,0,10,0,2714,0,3,0,0.0,0,-6,91,97,40,True,0,4,5,10
9,9,9,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,10,0,0,0,0,11,0,2784,0,1,0,0.0,0,10,95,85,40,False,0,3,2,11
10,10,10,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,2786,0,0,1,0.0,0,-42,61,103,40,True,0,4,2,12
11,11,11,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,9,0,0,0,0,13,0,2868,0,3,0,0.0,0,5,99,94,40,False,0,3,2,13
12,12,12,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,15,0,0,0,0,14,0,2881,0,0,1,0.0,0,-10,68,78,40,False,0,3,4,14
13,13,13,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,7,0,0,0,0,15,0,2883,0,1,2,0.0,0,-17,50,67,40,True,0,4,3,15
14,14,14,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,3,0,0,0,0,16,0,2902,0,3,0,0.0,0,-20,43,63,40,True,0,4,2,16
15,15,15,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,2947,0,0,0,0.0,0,-9,51,60,40,False,0,3,5,17
16,16,16,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,2982,0,0,2,0.0,0,-21,37,58,40,False,0,3,3,18
17,17,17,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-12-26T20:00:00Z,0,2,0,0,0,0,19,0,2986,0,2,3,0.0,0,-14,24,38,40,True,0,4,3,19
18,18,18,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30T17:30:00Z,0,16,0,0,0,0,20,0,3047,0,1,2,0.0,0,24,69,45,40,False,0,3,2,20
19,19,19,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2024-01-14T16:30:00Z,0,18,0,0,0,0,21,0,3200,0,2,2,0.0,0,95,313,218,40,True,0,4,3,21
20,20,20,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,20,0,0,0,0,22,0,3197,0,4,3,0.0,0,-53,56,109,40,False,0,3,2,22
21,21,21,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,19,0,0,0,0,23,0,3099,0,0,3,0.0,0,-96,0,96,40,True,0,4,2,23
