,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,9427,0,1,1,0.0,0,0,0,0,45,False,0,2,2,1
1,1,1,0,0,4,0,0.0,577,0.0,0.0,0.0,0.18,19,0,0,0.3,3.0,2023-08-20T15:30:00Z,21,7,0,0,0,0,2,0,9934,0,1,3,0.0,1,-1146,154,1300,45,True,0,3,3,2
2,2,2,0,0,10,0,0.1,577,0.0,0.0,0.0,1.52,24,1,0,2.7,26.8,2023-08-26T16:30:00Z,90,5,0,0,0,0,3,0,9820,1,3,1,0.0,2,-714,165,879,45,False,0,2,3,3
3,3,3,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,11049,0,2,1,0.0,0,432,1059,627,45,False,0,2,2,4
4,4,4,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,13,0,0,0,0,5,0,10678,0,3,1,0.0,0,-921,315,1236,44,True,0,3,5,5
5,5,5,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,11,0,0,0,0,6,0,10397,0,1,3,0.0,0,-407,196,603,44,False,0,2,5,6
6,6,6,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,17,0,0,0,0,7,0,10248,0,0,2,0.0,0,-225,310,535,44,True,0,3,2,7
7,7,7,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,10069,0,2,2,0.0,0,-286,233,519,44,True,0,3,3,8
8,8,8,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,10033,0,1,4,0.0,0,-179,215,394,44,False,0,2,4,9
9,9,9,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,9,0,0,0,0,10,0,9977,0,1,0,0.0,0,-138,244,382,44,True,0,3,2,10
10,10,10,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,4,0,0,0,0,11,0,9846,0,2,3,0.0,0,-174,188,362,44,False,0,2,3,11
11,11,11,0,0,3,0,0.0,577,0.0,0.0,0.0,0.05,119,0,0,0.1,1.0,2023-11-12T14:00:00Z,1,16,0,0,0,0,12,0,9768,0,2,3,0.0,1,-116,184,300,44,True,0,3,2,12
12,12,12,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,6,0,0,0,0,13,0,9833,0,2,1,0.0,0,-15,228,243,44,False,0,2,2,13
13,13,13,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,8,0,0,0,0,14,0,9754,0,1,1,0.0,0,-117,111,228,43,True,0,3,2,14
14,14,14,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,18,0,0,0,0,15,0,9697,0,2,1,0.0,0,-89,66,155,43,False,0,2,3,15
15,15,15,0,0,3,0,0.2,577,0.0,0.0,0.0,0.8,155,1,0,0.3,3.2,2023-12-10T14:00:00Z,26,10,0,0,0,0,16,0,9645,0,0,5,0.0,1,-91,71,162,43,False,0,2,2,16
16,16,16,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,20,0,0,0,0,17,0,9609,0,0,3,0.0,0,-111,97,208,43,True,0,3,2,17
17,17,17,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,9580,0,0,2,0.0,0,-68,74,142,43,True,0,3,3,18
18,18,18,0,0,24,1,0.3,577,0.0,0.0,0.0,2.68,181,0,0,3.6,35.6,2023-12-28T20:15:00Z,90,1,0,0,0,0,19,0,9547,1,2,0,0.0,6,-71,65,136,43,False,0,2,4,19
