Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0.0,0,0,16,0,3.8,514,0.02,0.02,0.0,0.83,1,1,0,1.0,5.8,2022-08-05T19:00:00Z,74,1,0,0,0,0,1,0,9875,1,2,0,0.0,2,0,0,0,50,True,0,2,4,1,2022-23,Cheick_Doucouré
1,1,1,1.0,0,0,17,0,28.0,514,0.25,0.28,0.03,1.92,16,1,0,4.4,12.8,2022-08-15T19:00:00Z,78,12,0,0,0,0,2,0,12433,1,1,1,3.0,2,-140,1698,1838,50,False,0,2,4,2,2022-23,Cheick_Doucouré
2,2,2,2.0,0,0,10,0,2.3,514,0.02,0.06,0.04,0.9,22,1,0,0.6,2.4,2022-08-20T14:00:00Z,90,2,0,0,0,0,3,0,14204,1,1,3,1.0,2,670,2754,2084,50,True,0,2,2,3,2022-23,Cheick_Doucouré
3,3,3,3.0,0,0,9,0,0.6,514,0.0,0.03,0.03,2.42,37,4,0,2.5,17.0,2022-08-27T14:00:00Z,90,13,0,0,0,0,4,0,12952,1,2,4,7.0,2,-1725,921,2646,50,False,0,2,5,4,2022-23,Cheick_Doucouré
4,4,4,4.0,1,2,28,0,25.2,514,0.04,0.04,0.0,1.43,43,1,0,6.4,38.8,2022-08-30T18:30:00Z,90,4,0,0,0,0,5,0,12986,1,1,1,0.0,6,-536,1058,1594,50,True,1,2,3,5,2022-23,Cheick_Doucouré
5,5,5,5.0,0,0,19,1,22.7,514,0.02,0.13,0.11,2.83,57,0,0,7.5,29.0,2022-09-03T14:00:00Z,90,15,0,0,0,0,6,0,17542,1,0,0,23.0,3,3173,4845,1672,50,False,0,2,4,6,2022-23,Cheick_Doucouré
6,6,6,6.0,0,0,8,0,10.7,514,0.01,0.01,0.0,1.1,83,1,0,2.1,9.8,2022-10-01T14:00:00Z,83,6,0,0,0,0,9,0,17194,1,2,1,0.0,2,248,1520,1272,50,True,0,2,3,9,2022-23,Cheick_Doucouré
7,7,7,7.0,0,0,6,0,11.4,514,0.01,0.01,0.0,0.77,95,1,0,2.0,8.8,2022-10-09T13:00:00Z,63,11,0,0,0,0,10,0,16996,1,1,2,0.0,1,-388,1124,1512,50,True,1,2,2,10,2022-23,Cheick_Doucouré
8,8,8,8.0,0,0,3,0,12.0,514,0.02,0.05,0.03,0.46,105,0,0,2.4,4.0,2022-10-15T11:30:00Z,55,10,0,0,0,0,11,0,16399,1,0,0,8.0,0,-740,584,1324,50,False,1,2,3,11,2022-23,Cheick_Doucouré
9,9,9,9.0,0,0,9,0,2.6,514,0.02,0.06,0.04,0.84,115,1,0,2.3,13.0,2022-10-18T19:15:00Z,90,20,0,0,0,0,12,0,15855,1,1,2,7.0,1,-526,448,974,50,True,1,2,2,12,2022-23,Cheick_Doucouré
