Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,10,0,0,0,0,7,0,0,0,2,0,0.0,0,0,0,0,40,False,0,3,2,7,2023-24,Josh_Brooking
1,1,1,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,256,0,4,1,0.0,0,116,138,22,40,False,0,3,2,8,2023-24,Josh_Brooking
2,2,2,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,711,0,2,2,0.0,0,160,218,58,40,True,0,3,4,9,2023-24,Josh_Brooking
3,3,3,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,991,0,2,0,0.0,0,137,218,81,40,True,0,3,3,10,2023-24,Josh_Brooking
4,4,4,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,18,0,0,0,0,11,0,1129,0,4,1,0.0,0,32,151,119,40,False,0,3,3,11,2023-24,Josh_Brooking
5,5,5,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,1222,0,4,4,0.0,0,-15,86,101,40,True,0,3,5,12,2023-24,Josh_Brooking
6,6,6,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,15,0,0,0,0,13,0,1399,0,1,4,0.0,0,31,138,107,40,False,0,3,4,13,2023-24,Josh_Brooking
7,7,7,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,5,0,0,0,0,14,0,1508,0,2,3,0.0,0,17,97,80,40,True,0,3,3,14,2023-24,Josh_Brooking
8,8,8,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,1612,0,1,2,0.0,0,23,95,72,40,False,0,3,4,15,2023-24,Josh_Brooking
9,9,9,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,9,0,0,0,0,16,0,1748,0,0,2,0.0,0,8,82,74,40,False,0,3,2,16,2023-24,Josh_Brooking
10,10,10,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,1914,0,0,2,0.0,0,-2,106,108,40,True,0,3,2,17,2023-24,Josh_Brooking
11,11,11,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,1964,0,1,2,0.0,0,-37,51,88,40,False,0,3,2,18,2023-24,Josh_Brooking
12,12,12,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,2017,0,1,2,0.0,0,-30,32,62,40,True,0,3,2,19,2023-24,Josh_Brooking
13,13,13,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,195,0,0,0.0,0.0,2023-12-30T12:30:00Z,0,12,0,0,0,0,20,0,2067,0,3,2,0.0,0,-29,42,71,40,False,0,3,2,20,2023-24,Josh_Brooking
14,14,14,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2024-01-13T12:30:00Z,0,10,0,0,0,0,21,0,2124,0,0,1,0.0,0,-99,52,151,40,True,0,3,2,21,2023-24,Josh_Brooking
15,15,15,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2024-01-31T20:15:00Z,0,11,0,0,0,0,22,0,2232,0,1,4,0.0,0,-26,49,75,40,False,0,3,5,22,2023-24,Josh_Brooking
16,16,16,0,0,0,0,0.0,723,0.0,0.0,0.0,0.0,226,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,20,0,0,0,0,23,0,2254,0,4,2,0.0,0,-14,18,32,40,True,0,3,2,23,2023-24,Josh_Brooking
