,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
10,10,10,10,0,0,0,0,0.0,52,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,14,0,0,0,0,11,0,661,0,2,0.0,0,-9,7,16,54,True,0,2,2,11
11,11,11,11,0,0,0,0,0.0,52,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,12,0,0,0,0,12,0,666,1,3,0.0,0,2,5,3,54,False,0,2,4,12
12,12,12,12,0,0,0,0,0.0,52,124,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,9,0,0,0,0,13,0,660,2,0,0.0,0,-9,8,17,54,True,0,2,3,13
13,13,13,13,0,0,0,0,0.0,52,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,10,0,0,0,0,14,0,661,1,2,0.0,0,-1,5,6,54,False,0,2,5,14
14,14,14,14,0,0,0,0,0.0,52,141,0,0,0.0,0.0,2019-12-05T20:15:00Z,0,1,0,0,0,0,15,0,660,2,1,0.0,0,-2,5,7,54,False,0,2,4,15
15,15,15,15,0,0,0,0,0.0,52,153,0,0,0.0,0.0,2019-12-08T16:30:00Z,0,20,0,0,0,0,16,0,655,2,2,0.0,0,-6,6,12,54,True,0,2,4,16
16,16,16,16,0,0,0,0,0.0,52,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,7,0,0,0,0,17,0,664,1,1,0.0,0,4,12,8,54,False,0,2,3,17
17,17,17,17,0,0,0,0,0.0,52,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,15,0,0,0,0,18,0,663,1,0,0.0,0,-3,9,12,54,True,0,2,3,18
18,18,18,18,0,0,0,0,0.0,52,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,17,0,0,0,0,19,0,673,1,2,0.0,0,9,17,8,54,False,0,2,4,19
19,19,19,19,0,0,0,0,0.0,52,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,3,0,0,0,0,20,0,668,0,2,0.0,0,-6,4,10,54,True,0,2,2,20
20,20,20,20,0,0,0,0,0.0,52,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,6,0,0,0,0,21,0,663,1,1,0.0,0,-6,9,15,54,True,0,2,4,21
21,21,21,21,0,0,0,0,0.0,52,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,8,0,0,0,0,22,0,654,0,1,0.0,0,-10,6,16,54,False,0,2,4,22
22,22,22,22,0,0,0,0,0.0,52,222,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,2,0,0,0,0,23,0,655,1,1,0.0,0,1,5,4,54,True,0,2,2,23
