,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0,0.0,416,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,7467,3,0,0.0,0,0,0,0,50,True,0,2,4,1
1,1,1,1,0,0,0,0,0.0,416,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,7,0,0,0,0,2,0,6584,2,5,0.0,0,-1380,785,2165,50,False,0,2,3,2
2,2,2,2,0,0,0,0,0.0,416,27,0,0,0.0,0.0,2020-09-26T16:30:00Z,0,5,0,0,0,0,3,0,4899,3,3,0.0,0,-1824,268,2092,50,True,0,2,4,3
3,3,3,3,0,0,0,0,0.0,416,37,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,16,0,0,0,0,4,0,4210,0,2,0.0,0,-855,211,1066,49,False,0,2,2,4
4,4,4,4,0,0,0,0,0.0,416,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,4,0,0,0,0,5,0,3854,0,0,0.0,0,-435,316,751,49,True,0,2,2,5
5,5,5,5,0,0,0,0,0.0,416,51,0,0,0.0,0.0,2020-10-26T17:30:00Z,0,3,0,0,0,0,6,0,3434,1,1,0.0,0,-441,90,531,49,False,0,2,3,6
6,6,6,6,0,0,0,0,0.0,416,61,0,0,0.0,0.0,2020-11-02T17:30:00Z,0,8,0,0,0,0,7,0,3209,0,2,0.0,0,-265,58,323,49,False,0,2,2,7
7,7,7,7,0,0,0,0,0.0,416,77,0,0,0.0,0.0,2020-11-08T12:00:00Z,0,17,0,0,0,0,8,0,3035,1,0,0.0,0,-180,61,241,49,True,0,2,3,8
8,8,8,8,0,0,0,0,0.0,416,84,0,0,0.0,0.0,2020-11-21T20:00:00Z,0,13,0,0,0,0,9,0,3109,0,1,0.0,0,27,317,290,48,False,0,2,4,9
9,9,9,9,0,0,0,0,0.0,416,97,0,0,0.0,0.0,2020-11-28T20:00:00Z,0,15,0,0,0,0,10,0,2931,0,1,0.0,0,-181,82,263,48,True,0,2,2,10
10,10,10,10,0,0,0,0,0.0,416,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,6,0,0,0,0,11,0,2952,5,1,0.0,0,-2,183,185,48,True,0,2,2,11
