assists,bonus,bps,clean_sheets,goals_conceded,goals_scored,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,total_points,transfers_in,transfers_out,value,yellow_cards
3.3017660170818393,-0.3016799956559601,0.35722413389134844,-0.3395250709969875,2.68688759734462,-0.34759462978978084,-0.15293941369712946,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.6014564985129407,,-0.42019362572872226,4.0,-0.35474134492075315,-0.3624498750678026,-0.6022854164028859,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.6367214070552202,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,-0.30953796603690636,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.4200637539500218,,-0.410251199531764,0.0,-0.33028085424193987,-0.33333167882536996,-0.6022854164028859,4.430260232521821
-0.2338790382045352,-0.3016799956559601,-0.3054062267396973,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,-0.33563772476020254,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.3293673816685625,,-0.4115267965897607,1.0,-0.34862622225104983,-0.335706409768922,-0.6022854164028859,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,0.5228817240491098,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,1.0737492462977896,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.2386710093871032,,-0.4114822990179701,2.0,-0.34256980475897564,-0.33931289367852213,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.3054062267396973,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,1.0215497288511972,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.1479746371056438,,-0.41173723302302034,2.0,-0.34732492414693694,-0.3486453643492103,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.2225774316608166,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,1.5174451445938242,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.0572782648241843,,-0.40809028620168386,2.0,-0.30568338481532525,-0.3434187368986822,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.13974863658193587,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,0.9432504526813089,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-1.0572782648241843,,-0.40809028620168386,1.0,-0.30568338481532525,-0.3434187368986822,-0.6577995667533678,4.430260232521821
-0.2338790382045352,-0.3016799956559601,-0.6367214070552202,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,0.8649511765114204,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.966581892542725,,-0.4093250938188725,2.0,-0.3437536925078302,-0.3374708126662341,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.388235021818578,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,1.0215497288511972,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.8758855202612656,,-0.4096069117735462,2.0,-0.3467574407631885,-0.34685876770476226,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.5538926119763394,-0.3395250709969875,1.61201741430575,-0.34759462978978084,0.6561531067250512,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.7851891479798062,,-0.41014551779876135,1.0,-0.34984924678499046,-0.3490004643033863,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.13974863658193587,-0.3395250709969875,0.5371472312668802,-0.34759462978978084,-0.5444357945465718,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.6944927756983469,,-0.4104783225544451,1.0,-0.34871428001749355,-0.3500102797980743,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.47106381689745874,-0.3395250709969875,-0.5377229517719895,-0.34759462978978084,-0.8315331405028294,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.6037964034168876,,-0.4103893274108639,0.0,-0.3469139879035329,-0.35246268885660237,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,2.601601199651656,2.0966288305478433,-0.3395250709969875,-0.5377229517719895,2.0648930052195906,-0.5444357945465718,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.5131000311354281,,-0.4105200390279988,7.0,-0.34766737101644035,-0.35100899841919436,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,1.1499606019978479,1.8481424453112012,-0.3395250709969875,2.68688759734462,2.0648930052195906,0.34295600204549737,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.42240365885396874,,-0.40962081726473076,6.0,-0.3408869230002733,-0.35483741980015443,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.2225774316608166,-0.3395250709969875,2.68688759734462,-0.34759462978978084,0.7344523828949396,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.33170728657250936,,-0.4084462667760085,1.0,-0.3375309436791401,-0.35535897285785045,-0.6577995667533678,4.430260232521821
-0.2338790382045352,-0.3016799956559601,-0.056919841503055145,-0.3395250709969875,1.61201741430575,-0.34759462978978084,1.5174451445938242,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.24101091429105,,-0.4078390603276162,2.0,-0.33950735132598825,-0.35078706094783435,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.056919841503055145,2.9448962116526274,-0.5377229517719895,-0.34759462978978084,1.5174451445938242,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,-0.05961816972813125,,-0.4070000956928146,2.0,-0.3455539846217909,-0.3466923146012423,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.056919841503055145,-0.3395250709969875,1.61201741430575,-0.34759462978978084,1.5174451445938242,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,0.03107820255332813,,-0.4060369086700976,2.0,-0.3361220194160405,-0.3508425453156743,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.13974863658193587,-0.3395250709969875,1.61201741430575,-0.34759462978978084,0.34295600204549737,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,0.1217745748347875,,-0.4071196829170018,0.0,-0.3479217601195,-0.34132142779433017,-0.6577995667533678,4.430260232521821
-0.2338790382045352,-0.3016799956559601,-0.47106381689745874,-0.3395250709969875,-0.5377229517719895,-0.34759462978978084,-0.8315331405028294,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,0.2124709471162469,,-0.4095846629876509,0.0,-0.3507493928419708,-0.32802737325986586,-0.6577995667533678,-0.22569014975695176
-0.2338790382045352,-0.3016799956559601,-0.47106381689745874,-0.3395250709969875,-0.5377229517719895,-0.34759462978978084,-0.8315331405028294,-0.02314808675317087,-0.055577945426585576,,-0.043335144061852425,0.30316731939770625,,-0.4104310438844176,0.0,-0.3528627792366203,-0.34781309883161027,-0.6577995667533678,-0.22569014975695176
